"Date","Court","Phase","Division","Group","Round","Home Team","Home Score","Away Team","Away Score","Referees","End Time"
"2026-06-20 12:05 pm","Court 4","Group Phase","Comp Mixed - 7"" Foam","Group A","8","Proud Family","undefined","The Parkers","undefined","The Cleveland Show","2026-06-20 12:30"
"2026-06-20 12:30 pm","Court 1","Group Phase","Comp Mixed - 7"" Foam","Group A","9","Static Shock","undefined","Martin","undefined","The Boondocks","2026-06-20 12:55"
"2026-06-20 12:30 pm","Court 2","Group Phase","Comp Mixed - 7"" Foam","Group A","9","Black Panther","undefined","The Parkers","undefined","The Cleveland Show","2026-06-20 12:55"
"2026-06-20 12:30 pm","Court 3","Group Phase","Comp Mixed - 7"" Foam","Group A","9","Family Matters","undefined","Smart Guy","undefined","Fresh Prince","2026-06-20 12:55"
"2026-06-20 12:30 pm","Court 4","Group Phase","Comp Mixed - 7"" Foam","Group A","9","Sister Sister","undefined","Kenan & Kel","undefined","Fillmore","2026-06-20 12:55"
"2026-06-20 12:55 pm","Court 1","Group Phase","Comp Mixed - 7"" Foam","Group A","10","Fillmore","undefined","The Incredibles","undefined","Sister Sister","2026-06-20 13:20"
"2026-06-20 12:55 pm","Court 2","Group Phase","Comp Mixed - 7"" Foam","Group A","10","That's So Raven","undefined","Abbott Elementary","undefined","Kenan & Kel","2026-06-20 13:20"
"2026-06-20 12:55 pm","Court 3","Group Phase","Comp Mixed - 7"" Foam","Group A","10","Fresh Prince","undefined","The Boondocks","undefined","The Parkers","2026-06-20 13:20"
"2026-06-20 12:55 pm","Court 4","Group Phase","Comp Mixed - 7"" Foam","Group A","10","Proud Family","undefined","The Cleveland Show","undefined","Martin","2026-06-20 13:20"
"2026-06-20 01:50 pm","Court 1","Playoff","Comp Mixed - 7"" Foam","Match #1 • Round of 16","11","Seed #1","undefined","Seed #16","undefined","Comp Mixed - 7"" Foam • Seed #2","2026-06-20 14:30"
"2026-06-20 01:50 pm","Court 2","Playoff","Comp Mixed - 7"" Foam","Match #2 • Round of 16","11","Seed #8","undefined","Seed #9","undefined","Comp Mixed - 7"" Foam • Seed #3","2026-06-20 14:30"
"2026-06-20 01:50 pm","Court 3","Playoff","Comp Mixed - 7"" Foam","Match #3 • Round of 16","11","Seed #4","undefined","Seed #13","undefined","Comp Mixed - 7"" Foam • Seed #6","2026-06-20 14:30"
"2026-06-20 01:50 pm","Court 4","Playoff","Comp Mixed - 7"" Foam","Match #4 • Round of 16","11","Seed #5","undefined","Seed #12","undefined","Comp Mixed - 7"" Foam • Seed #7","2026-06-20 14:30"
"2026-06-20 02:30 pm","Court 1","Playoff","Comp Mixed - 7"" Foam","Match #5 • Round of 16","12","Seed #2","undefined","Seed #15","undefined","Comp Mixed - 7"" Foam • Loser of #1 • tier #1","2026-06-20 15:10"
"2026-06-20 02:30 pm","Court 2","Playoff","Comp Mixed - 7"" Foam","Match #6 • Round of 16","12","Seed #7","undefined","Seed #10","undefined","Comp Mixed - 7"" Foam • Loser of #2 • tier #1","2026-06-20 15:10"
"2026-06-20 02:30 pm","Court 3","Playoff","Comp Mixed - 7"" Foam","Match #7 • Round of 16","12","Seed #3","undefined","Seed #14","undefined","Comp Mixed - 7"" Foam • Loser of #3 • tier #1","2026-06-20 15:10"
"2026-06-20 02:30 pm","Court 4","Playoff","Comp Mixed - 7"" Foam","Match #8 • Round of 16","12","Seed #6","undefined","Seed #11","undefined","Comp Mixed - 7"" Foam • Loser of #4 • tier #1","2026-06-20 15:10"
"2026-06-20 03:10 pm","Court 1","Playoff","Comp Mixed - 7"" Foam","Match #9 • Quarters","13","Winner of #1","undefined","Winner of #2","undefined","Comp Mixed - 7"" Foam • Loser of #5 • tier #1","2026-06-20 15:50"
"2026-06-20 03:10 pm","Court 2","Playoff","Comp Mixed - 7"" Foam","Match #10 • Quarters","13","Winner of #3","undefined","Winner of #4","undefined","Comp Mixed - 7"" Foam • Loser of #6 • tier #1","2026-06-20 15:50"
"2026-06-20 03:10 pm","Court 3","Playoff","Comp Mixed - 7"" Foam","Match #11 • Quarters","13","Winner of #5","undefined","Winner of #6","undefined","Comp Mixed - 7"" Foam • Loser of #7 • tier #1","2026-06-20 15:50"
"2026-06-20 03:10 pm","Court 4","Playoff","Comp Mixed - 7"" Foam","Match #12 • Quarters","13","Winner of #7","undefined","Winner of #8","undefined","Comp Mixed - 7"" Foam • Loser of #8 • tier #1","2026-06-20 15:50"
"2026-06-20 03:50 pm","Court 1","Playoff","Comp Mixed - 7"" Foam","Match #13 • Semis","14","Winner of #9","undefined","Winner of #10","undefined","Comp Mixed - 7"" Foam • Loser of #9 • tier #1","2026-06-20 16:40"
"2026-06-20 03:50 pm","Court 2","Playoff","Comp Mixed - 7"" Foam","Match #14 • Semis","14","Winner of #11","undefined","Winner of #12","undefined","Comp Mixed - 7"" Foam • Loser of #10 • tier #1","2026-06-20 16:40"
"2026-06-20 04:40 pm","Court 1","Playoff","Comp Mixed - 7"" Foam","Match #15 • Final","15","Winner of #13","undefined","Winner of #14","undefined","Comp Mixed - 7"" Foam • Loser of #9 • tier #1","2026-06-20 17:30"
"2026-06-20 04:40 pm","Court 2","Playoff","Comp Mixed - 7"" Foam","Match #16 • Bronze","15","Loser of #13","undefined","Loser of #14","undefined","Comp Mixed - 7"" Foam • Loser of #10 • tier #1","2026-06-20 17:30"
